Experiment Name,Run,Execution Time (seconds),CPU Energy (Joules),Average Power (Watts)
teams_share,28,29.057,106.69767761230105,3.6720128579103504
teams_share,29,29.106,104.03326416015989,3.574289292934786
teams_share,3,29.089,127.62542724608647,4.3874119854957705
teams_share,30,29.501,72.87066650390625,2.470108352391656
teams_share,4,29.285,125.98783874511719,4.302128691996489
teams_share,5,29.301,123.97183227539062,4.230976153557579
teams_share,6,29.106,101.13670349121094,3.4747716447196773
teams_share,7,29.484,97.61149597167969,3.3106598823660183
teams_share,8,29.486,67.78871154786611,2.2990134825973723
teams_share,9,29.7,225.76605224609375,7.601550580676557
zoom_blur,1,29.297,206.37734985351562,7.0443168192482375
zoom_blur,10,29.285,223.53874206543333,7.633216392878038
zoom_blur,11,29.28,207.01103210448855,7.070048910672423
zoom_blur,12,29.294,211.0446166992224,7.204363238179231
zoom_blur,13,29.295,244.99885559082395,8.363162846588972
zoom_blur,14,29.101,194.8581085205078,6.695924831466542
zoom_blur,15,29.691,138.09750366210938,4.651157039577965
zoom_blur,16,29.693,135.6615447998047,4.568805604007836
zoom_blur,17,29.688,138.8365020751953,4.676519202209489
zoom_blur,18,29.698,134.91941833496094,4.543047287189741
zoom_blur,19,29.703,137.3002471923828,4.622437033039855
zoom_blur,2,29.297,211.40673828125,7.215985878460252
zoom_blur,20,29.691,137.2577362060547,4.62287347027903
zoom_blur,21,29.686,136.79550170898438,4.608081307989772
zoom_blur,22,29.701,137.45538330078125,4.627971559906443
zoom_blur,23,29.684,138.59115600585938,4.668884112850673
zoom_blur,24,29.674,139.45669555663335,4.699625785422705
zoom_blur,25,29.687,158.14366149902344,5.327034105804676
zoom_blur,26,29.693,138.28323364257812,4.6570987654524005
zoom_blur,27,29.468,136.42959594725835,4.6297541722294815
zoom_blur,28,29.491,134.28216552734375,4.553326965085747
zoom_blur,29,29.693,138.93991088867188,4.67921432285966
zoom_blur,3,29.305,211.40065002441406,7.213808224685687
zoom_blur,30,29.685,137.29354858398438,4.625014269293731
zoom_blur,4,29.29,203.9112091064435,6.961802973931154
zoom_blur,5,30.084,201.5710754394513,6.700275077763971
zoom_blur,6,29.285,235.51309204101562,8.042106608878798
zoom_blur,7,29.296,194.65684509277344,6.64448542779811
zoom_blur,8,29.308,219.27081298828125,7.481602736054362
zoom_blur,9,29.333,210.4403533935547,7.174184481422108
zoom_camera_off,1,29.695,148.25698852539062,4.9926583103347575
zoom_camera_off,10,29.898,157.96748352051145,5.283546843284214
