file,app,camera,blur,share,iteration,condition,name,avg_power_W,total_energy_J,total_time_s,EDP_Js,n_samples_power
results\zoom_noshare_3.csv,zoom,,,off,3,zoom_noshare,zoom_noshare_3.csv,6.203459965911,77.90357971191406,29.305,2282.9644034576418,148
results\zoom_noshare_30.csv,zoom,,,off,30,zoom_noshare,zoom_noshare_30.csv,5.906814771976214,73.9217529296875,29.695,2195.1064532470705,150
results\zoom_noshare_4.csv,zoom,,,off,4,zoom_noshare,zoom_noshare_4.csv,5.831474330829031,73.13044738768804,29.894,2186.161594207546,151
results\zoom_noshare_5.csv,zoom,,,off,5,zoom_noshare,zoom_noshare_5.csv,6.813344543515153,91.274658203125,29.939999999999998,2732.7632666015625,151
results\zoom_noshare_6.csv,zoom,,,off,6,zoom_noshare,zoom_noshare_6.csv,2.8611668105183377,84.87498474121094,29.703000000000003,2521.0416717681887,149
results\zoom_noshare_7.csv,zoom,,,off,7,zoom_noshare,zoom_noshare_7.csv,5.601240478412281,73.22749328614009,29.518,2161.529146820283,149
results\zoom_noshare_8.csv,zoom,,,off,8,zoom_noshare,zoom_noshare_8.csv,2.5314281761615676,76.07333374024165,30.089999999999996,2289.046612243871,151
results\zoom_noshare_9.csv,zoom,,,off,9,zoom_noshare,zoom_noshare_9.csv,3.041500848967671,91.52589416503906,30.11,2755.844673309326,151
results\zoom_share_1.csv,zoom,,,on,1,zoom_share,zoom_share_1.csv,3.4370651743261478,100.68115234376455,29.298000000000002,2949.756401367614,147
results\zoom_share_10.csv,zoom,,,on,10,zoom_share,zoom_share_10.csv,5.800172843674515,172.12481689453125,29.71,5113.8283099365235,149
results\zoom_share_11.csv,zoom,,,on,11,zoom_share,zoom_share_11.csv,5.356722449605934,159.8729705810547,29.891,4778.762963638305,150
results\zoom_share_12.csv,zoom,,,on,12,zoom_share,zoom_share_12.csv,6.469775326574916,192.02557373046875,29.71,5705.079795532227,149
results\zoom_share_13.csv,zoom,,,on,13,zoom_share,zoom_share_13.csv,6.049744324325946,180.69012451171875,29.887,5400.285751281738,150
results\zoom_share_14.csv,zoom,,,on,14,zoom_share,zoom_share_14.csv,13.394660907813787,164.53802490234375,29.914,4921.990476928711,151
results\zoom_share_15.csv,zoom,,,on,15,zoom_share,zoom_share_15.csv,6.0600789529499455,181.21774291992188,29.908,5419.860255249024,150
results\zoom_share_16.csv,zoom,,,on,16,zoom_share,zoom_share_16.csv,6.302834500260104,188.52194213867188,29.918,5640.199464904785,150
results\zoom_share_17.csv,zoom,,,on,17,zoom_share,zoom_share_17.csv,5.356306475033807,159.91529846191406,29.895000000000003,4780.667847518921,150
results\zoom_share_18.csv,zoom,,,on,18,zoom_share,zoom_share_18.csv,5.304305943372461,158.65492248535156,29.913,4745.844696304322,150
results\zoom_share_19.csv,zoom,,,on,19,zoom_share,zoom_share_19.csv,5.388557999078043,160.7985076904297,29.9,4807.875379943847,150
results\zoom_share_2.csv,zoom,,,on,2,zoom_share,zoom_share_2.csv,3.1126196261707357,91.80859375,29.501,2708.44532421875,148
results\zoom_share_20.csv,zoom,,,on,20,zoom_share,zoom_share_20.csv,6.266582850085262,187.1609344482422,29.901000000000003,5596.299100936891,150
results\zoom_share_21.csv,zoom,,,on,21,zoom_share,zoom_share_21.csv,5.4120067786942005,161.7241668701172,29.892,4834.258796081543,150
results\zoom_share_22.csv,zoom,,,on,22,zoom_share,zoom_share_22.csv,5.970835541312959,178.1660919189453,29.888,5325.028155273438,150
results\zoom_share_23.csv,zoom,,,on,23,zoom_share,zoom_share_23.csv,2.6557107812201433,77.65310668945494,29.290000000000006,2274.459494934136,147
results\zoom_share_24.csv,zoom,,,on,24,zoom_share,zoom_share_24.csv,3.69706754690443,108.78547668457031,29.467000000000002,3205.5816414642336,148
results\zoom_share_25.csv,zoom,,,on,25,zoom_share,zoom_share_25.csv,3.106387471531639,90.88847351074219,29.296,2662.668719970703,147
results\zoom_share_26.csv,zoom,,,on,26,zoom_share,zoom_share_26.csv,2.6045029558273614,76.12617492675781,29.276000000000003,2228.669897155762,147
results\zoom_share_27.csv,zoom,,,on,27,zoom_share,zoom_share_27.csv,3.6547459139408356,106.0823974609375,29.066000000000003,3083.3909645996096,146
results\zoom_share_28.csv,zoom,,,on,28,zoom_share,zoom_share_28.csv,7.507714998976244,94.57588195800417,29.28,2769.1818237303623,148
results\zoom_share_29.csv,zoom,,,on,29,zoom_share,zoom_share_29.csv,2.6914052710039766,78.677490234375,29.284000000000002,2303.991624023438,147
results\zoom_share_3.csv,zoom,,,on,3,zoom_share,zoom_share_3.csv,2.729442349698303,80.34477233886719,29.482000000000003,2368.7245780944827,148
results\zoom_share_30.csv,zoom,,,on,30,zoom_share,zoom_share_30.csv,6.22465106124253,76.33937072753906,29.266000000000005,2234.1480237121586,148
results\zoom_share_4.csv,zoom,,,on,4,zoom_share,zoom_share_4.csv,2.578822198959089,75.41647338867188,29.281000000000002,2208.2697572937013,147
results\zoom_share_5.csv,zoom,,,on,5,zoom_share,zoom_share_5.csv,8.091243387895247,103.27789306640625,29.271,3023.0472079467772,148
results\zoom_share_6.csv,zoom,,,on,6,zoom_share,zoom_share_6.csv,3.4223178137631827,100.09237670898438,29.285000000000004,2931.2052519226077,147
results\zoom_share_7.csv,zoom,,,on,7,zoom_share,zoom_share_7.csv,2.6823841363895538,78.468505859375,29.295,2298.734879150391,147
results\zoom_share_8.csv,zoom,,,on,8,zoom_share,zoom_share_8.csv,2.7022649479418313,79.0692138671875,29.274,2314.672166748047,147
results\zoom_share_9.csv,zoom,,,on,9,zoom_share,zoom_share_9.csv,3.188041316687733,93.19477844238281,29.269000000000005,2727.717970230103,147
